Fecha,Valor
01/07/2010,27.84
02/07/2010,28.04
05/07/2010,28.33
06/07/2010,29.31
07/07/2010,29.53
08/07/2010,30.09
12/07/2010,30.08
13/07/2010,29.94
14/07/2010,30.65
15/07/2010,30.21
16/07/2010,30.35
19/07/2010,30.50
20/07/2010,30.07
21/07/2010,29.68
22/07/2010,29.55
23/07/2010,30.17
26/07/2010,30.23
27/07/2010,29.45
28/07/2010,29.56
29/07/2010,28.88
30/07/2010,29.25
02/08/2010,28.61
03/08/2010,27.58
04/08/2010,28.58
05/08/2010,29.76
06/08/2010,29.62
09/08/2010,29.99
10/08/2010,30.01
11/08/2010,29.65
12/08/2010,29.88
13/08/2010,30.09
17/08/2010,28.88
18/08/2010,28.11
19/08/2010,28.68
20/08/2010,28.87
23/08/2010,28.90
24/08/2010,27.97
25/08/2010,28.82
26/08/2010,28.52
27/08/2010,28.69
30/08/2010,28.44
31/08/2010,27.47
01/09/2010,28.25
02/09/2010,27.93
03/09/2010,29.20
06/09/2010,29.89
07/09/2010,29.27
08/09/2010,29.90
09/09/2010,29.82
10/09/2010,30.05
13/09/2010,27.03
14/09/2010,29.93
15/09/2010,29.75
16/09/2010,31.32
17/09/2010,29.55
20/09/2010,29.44
21/09/2010,29.44
22/09/2010,29.48
23/09/2010,29.14
24/09/2010,29.42
27/09/2010,29.68
28/09/2010,28.71
29/09/2010,28.87
30/09/2010,29.24
01/10/2010,29.28
04/10/2010,29.37
05/10/2010,29.06
06/10/2010,29.58
07/10/2010,29.97
08/10/2010,30.07
12/10/2010,30.40
13/10/2010,30.00
14/10/2010,30.17
15/10/2010,30.85
18/10/2010,29.20
19/10/2010,29.45
20/10/2010,29.95
21/10/2010,29.42
22/10/2010,29.09
25/10/2010,29.33
26/10/2010,29.29
28/10/2010,29.07
29/10/2010,29.01
01/11/2010,28.19
02/11/2010,28.48
03/11/2010,28.90
04/11/2010,29.19
05/11/2010,30.43
08/11/2010,29.94
09/11/2010,30.32
10/11/2010,29.57
11/11/2010,29.56
12/11/2010,29.88
15/11/2010,30.14
16/11/2010,29.65
17/11/2010,29.09
18/11/2010,39.55
19/11/2010,29.82
23/11/2010,30.35
24/11/2010,29.36
25/11/2010,29.02
26/11/2010,29.46
29/11/2010,29.43
30/11/2010,41.09
01/12/2010,28.33
02/12/2010,29.11
03/12/2010,28.33
06/12/2010,29.12
07/12/2010,29.23
09/12/2010,28.87
10/12/2010,29.92
13/12/2010,30.39
14/12/2010,29.19
15/12/2010,29.52
16/12/2010,29.04
17/12/2010,30.36
20/12/2010,29.23
21/12/2010,29.26
22/12/2010,28.16
23/12/2010,28.17
27/12/2010,28.07
28/12/2010,28.52
29/12/2010,28.84
30/12/2010,28.46
03/01/2011,28.46
04/01/2011,29.32
05/01/2011,28.84
06/01/2011,29.01
07/01/2011,29.91
10/01/2011,29.61
11/01/2011,30.27
12/01/2011,29.32
13/01/2011,29.69
14/01/2011,28.90
17/01/2011,29.32
18/01/2011,29.50
19/01/2011,28.83
20/01/2011,29.02
21/01/2011,29.66
24/01/2011,29.38
25/01/2011,28.87
26/01/2011,28.70
27/01/2011,28.63
28/01/2011,29.85
31/01/2011,28.63
01/02/2011,27.06
02/02/2011,28.76
03/02/2011,28.96
04/02/2011,29.15
07/02/2011,29.43
08/02/2011,29.08
09/02/2011,29.53
10/02/2011,27.67
11/02/2011,30.10
14/02/2011,30.15
